userID,time,interface,task1,task2,task3,taskStart1,taskStart2,taskStart3,taskEnd1,taskEnd2,taskEnd3,timesRan1,timesRan2,timesRan3,timesUsed1,timesUsed2,timesUsed3,taskCompletion1,taskCompletion2,taskCompletion3,taskAnswer1,taskAnswer2,taskAnswer3,delete,taskTime1,taskTime2,taskTime3,correct1,correct2,correct3
1,1.72E+12,control,where,convolve,minmax,1.72E+12,1.72E+12,1.72E+12,1.72E+12,1.72E+12,1.72E+12,22,18,8,0,0,0,answered,answered,answered,"x = tf.constant([5, 2, 20, 15, 32, 100])
new_x = tf.where(
  tf.boolean_mask(x, x % 5 == 0) % 10 != 0,
  tf.square(tf.boolean_mask(x, x % 5 == 0)),
  tf.boolean_mask(x, x % 5 == 0)
)
print(new_x)","x = tf.constant([4, 12, 8, 8])
new_x = tf.squeeze(
  tf.nn.conv1d(
    tf.reshape(x, [1, int(x.shape[0]), 1]),
    tf.constant([[[2]], [[1]]]),
    1,
    'VALID'
  )
)
print(new_x)","x = tf.constant(
  [[1, 2, 3],
  [101, 102, 103],
  [11, 12, 13]]
)
new_x = tf.math.reduce_max(
  tf.math.reduce_min(
    tf.boolean_mask(x, tf.range(len(x)) % 2 == 0),
    axis=1
  )
)
print(new_x)",FALSE,1051224,682921,363797,TRUE,TRUE,TRUE
5,1.72E+12,control,where,convolve,minmax,1.72E+12,1.72E+12,1.72E+12,1.72E+12,1.72E+12,1.72E+12,16,7,5,0,0,0,answered,answered,answered,"x = tf.constant([5, 2, 20, 15, 32, 100])
new_x = tf.where(
  tf.boolean_mask(x, x % 5 == 0) % 10 != 0,
  tf.square(tf.boolean_mask(x, x % 5 == 0)),
  tf.boolean_mask(x, x % 5 == 0)
)
print(new_x)","x = tf.constant([4, 12, 8, 8])
new_x = tf.squeeze(
  tf.nn.conv1d(
    tf.reshape(x, [1, int(x.shape[0]), 1]),     # value
    tf.constant([[[2]], [[1]]]),         # filters
    1,                                          # stride
    'VALID'                                     # padding
  )
)
print(new_x)","x = tf.constant(
  [[1, 2, 3],
  [101, 102, 103],
  [11, 12, 13]]
)
new_x = tf.math.reduce_max(
  tf.math.reduce_min(
    tf.boolean_mask(x, tf.range(len(x)) % 2 == 0),
    axis=1
  )
)
print(new_x)",FALSE,219232,533099,73411,TRUE,TRUE,TRUE
7,1.72E+12,control,where,convolve,minmax,1.72E+12,1.72E+12,1.72E+12,1.72E+12,1.72E+12,1.72E+12,38,11,5,0,0,0,answered,answered,answered,"x = tf.constant([5, 2, 20, 15, 32, 100])
new_x = tf.where(
  tf.boolean_mask(x, x % 5 == 0) % 10 == 0,
  tf.boolean_mask(x, x % 5 == 0),
  tf.square(tf.boolean_mask(x, x % 5 == 0))
).numpy()
print(new_x)
","x = tf.constant([4, 12, 8, 8])
new_x = tf.squeeze(
  tf.nn.conv1d(
    tf.reshape(x, [1, int(x.shape[0]), 1]),
    tf.constant([[[2]], [[1]]]),
    1,
    'VALID'
  )
).numpy()
print(new_x)","x = tf.constant(
  [[1, 2, 3],
  [101, 102, 103],
  [11, 12, 13]]
)
new_x = tf.math.reduce_max(
  tf.math.reduce_min(
    tf.boolean_mask(x, tf.range(len(x)) % 2 == 0),
    axis=1
  )
).numpy()
print(new_x)
",FALSE,1149223,564988,150678,TRUE,TRUE,TRUE
9,1.72E+12,control,where,convolve,minmax,1.72E+12,1.72E+12,1.72E+12,1.72E+12,1.72E+12,1.72E+12,12,16,3,0,0,0,answered,answered,answered,"x = tf.constant([5, 2, 20, 15, 32, 100])
new_x = tf.where(
  tf.boolean_mask(x, x % 5 == 0) % 10 != 0,
  tf.square(tf.boolean_mask(x, x % 5 == 0)),
  tf.boolean_mask(x, x % 5 == 0)
)
print(new_x)","x = tf.constant([4, 12, 8, 8])
new_x = tf.squeeze(
  tf.nn.conv1d(
    tf.reshape(x, [1, int(x.shape[0]), 1]),
    tf.constant([[[2]], [[1]]]),
    1,
    'VALID'
  )
)
print(new_x)","x = tf.constant(
  [[1, 2, 3],
  [101, 102, 103],
  [11, 12, 13]]
)
new_x = tf.math.reduce_max(
  tf.math.reduce_min(
    tf.boolean_mask(x, tf.range(len(x)) % 2 == 0),
    axis=1
  )
)
print(new_x)",FALSE,1878641,2099530,193677,TRUE,TRUE,TRUE
11,1.72E+12,control,where,convolve,minmax,1.72E+12,1.72E+12,1.72E+12,1.72E+12,1.72E+12,1.72E+12,35,39,9,0,0,0,answered,answered,answered,"x = tf.constant([5, 2, 20, 15, 32, 100])
new_x = tf.where(
  tf.square(tf.boolean_mask(x, x % 5 == 0)) % 10 == 0,
  tf.boolean_mask(x, x % 5 == 0),
  tf.square(tf.boolean_mask(x, x % 5 == 0))
)
print(new_x)","x = tf.constant([4, 12, 8, 8])
new_x = tf.squeeze(
  tf.nn.conv1d(
    tf.reshape(x, [1, int(x.shape[0]), 1]),
    tf.constant([[[2]], [[1]]]),
    1,
    'VALID'
  )
)
print(new_x)","x = tf.constant(
  [[1, 2, 3],
  [101, 102, 103],
  [11, 12, 13]]
)
new_x = tf.math.reduce_min(
  tf.math.reduce_min(
    tf.boolean_mask(x, tf.range(len(x)) % 3 != 0),
    axis=1
  )
)
print(new_x)
",FALSE,1154406,1003275,207278,TRUE,TRUE,FALSE
13,1.72E+12,control,where,convolve,minmax,1.72E+12,1.72E+12,1.72E+12,1.72E+12,1.72E+12,1.72E+12,39,7,6,0,0,0,answered,skipped,answered,"x = tf.constant([5, 2, 20, 15, 32, 100])

print(tf.boolean_mask(x, x % 5 == 0) % 10 == 0)
print(tf.boolean_mask(x, x % 5 == 0))
print(tf.square(tf.boolean_mask(x, x % 5 == 0)))


new_x = tf.where(
tf.boolean_mask(x, x % 5 == 0) % 10 == 0,
tf.boolean_mask(x, x % 5 == 0),
tf.square(tf.boolean_mask(x, x % 5 == 0))
)


print(new_x)
","x = tf.constant([4, 12, 8, 8])
new_x = tf.squeeze(
  tf.nn.conv1d(
    tf.reshape(x, [1, int(x.shape[0]), 1]),
    tf.constant([[[1]], [[1]], [[1]]]),
    1,
    'VALID'
  )
)


print(new_x)


print(tf.reshape(x, [1, int(x.shape[0]), 1]))
print(tf.constant([[[1]], [[1]], [[1]]]))","x = tf.constant(
  [[1, 2, 3],
  [101, 102, 103],
  [11, 12, 13]]
)
new_x = tf.math.reduce_min(
  tf.math.reduce_max(
    tf.boolean_mask(x, tf.range(len(x)) % 2 == 0),
axis=0
  )
)
print(new_x)

",FALSE,1866651,660600,238215,TRUE,,FALSE
16,1.72E+12,control,where,convolve,minmax,1.72E+12,1.72E+12,1.72E+12,1.72E+12,1.72E+12,1.72E+12,13,19,12,0,0,0,answered,answered,answered,"x = tf.constant([5, 2, 20, 15, 32, 100])
new_x = tf.where(
tf.boolean_mask(x, x % 5 == 0) % 10 != 0,
tf.square(tf.boolean_mask(x, x % 5 == 0)),
tf.boolean_mask(x, x % 5 == 0)
)

print(new_x)","weights = tf.constant([2, 1])
x = tf.constant([4, 12, 8, 8])
new_x = tf.squeeze(
  tf.nn.conv1d(
    tf.reshape(x, [1, int(x.shape[0]), 1]),
    tf.constant([[[2]], [[1]]]),
    1,
    'VALID'
  )
)
print(new_x)","x = tf.constant(
  [[1, 2, 3],
  [101, 102, 103],
  [11, 12, 13]]
)
new_x = tf.math.reduce_max(
  tf.math.reduce_min(
    tf.boolean_mask(x, tf.range(len(x)) % 2 == 0),
    axis=1
  ),
)
print(new_x)",FALSE,543845,331846,187438,TRUE,TRUE,TRUE
20,1.72E+12,control,where,convolve,minmax,1.72E+12,1.72E+12,1.72E+12,1.72E+12,1.72E+12,1.72E+12,19,27,12,0,0,0,answered,answered,answered,"x = tf.constant([5, 2, 20, 15, 32, 100])
new_x = tf.where(
  tf.boolean_mask(x, x % 5 == 0) % 10 == 0,
  tf.boolean_mask(x, x % 5 == 0),
  tf.square(tf.boolean_mask(x, x % 5 == 0))
)
print(new_x)
","x = tf.constant([4, 12, 8, 8])
new_x = tf.squeeze( 
  tf.nn.conv1d(
    tf.reshape(x, [1, int(x.shape[0]), 1]),
    tf.constant([[[2]], [[1]]]),
    1,
    'VALID'
  )
)
print(new_x)

# honestly no idea how this work, soooo confused but im moving on","x = tf.constant(
  [[1, 2, 3],
  [101, 102, 103],
  [11, 12, 13]]
)
new_x = tf.math.reduce_max(
  tf.math.reduce_min(
    tf.boolean_mask(x, tf.range(len(x)) % 2 == 0),# choses the index?
    axis=1
  )
)
print(new_x)
",FALSE,1010846,1686680,386000,TRUE,TRUE,TRUE
22,1.72E+12,llmBasic,where,convolve,minmax,1.72E+12,1.72E+12,1.72E+12,1.72E+12,1.72E+12,1.72E+12,4,11,4,0,0,0,answered,answered,answered,"x = tf.constant([5, 2, 20, 15, 32, 100])
new_x = tf.where(
  tf.boolean_mask(x, x % 5 == 0) % 10 != 0,
  tf.square(tf.boolean_mask(x, x % 5 == 0)),
  tf.boolean_mask(x, x % 5 == 0)
)


print(new_x)","x = tf.constant([4, 12, 8, 8])
new_x = tf.squeeze(
  tf.nn.conv1d(
    tf.reshape(x, [1, int(x.shape[0]), 1]),
    tf.constant([[[2]], [[1]]]),
    1,
    'VALID'
  )
)
print(new_x)","x = tf.constant(
  [[1, 2, 3],
  [101, 102, 103],
  [11, 12, 13]]
)
new_x = tf.math.reduce_max(
  tf.math.reduce_min(
    tf.boolean_mask(x, tf.range(len(x)) % 2 == 0),
    axis=1
  )
)
print(new_x)",FALSE,734716,537598,328755,TRUE,TRUE,TRUE
23,1.72E+12,llmBasic,where,convolve,minmax,1.72E+12,1.72E+12,1.72E+12,1.72E+12,1.72E+12,1.72E+12,13,13,10,0,0,0,answered,answered,answered,"x = tf.constant([5, 2, 20, 15, 32, 100])
new_x = tf.where(
  tf.boolean_mask(x, x % 5 == 0) % 10 != 0,
  tf.square(tf.boolean_mask(x, x % 5 == 0)),
  tf.boolean_mask(x, x % 5 == 0)
)
print(new_x)","x = tf.constant([4, 12, 8, 8])
new_x = tf.squeeze(
  tf.nn.conv1d(
    tf.reshape(x, [1, int(x.shape[0]), 1]),
    tf.constant([[[2]], [[1]]]),
    1,
    'VALID'
  )
)
print(new_x)","x = tf.constant(
  [[1, 2, 3],
  [101, 102, 103],
  [11, 12, 13]]
)

new_x = tf.math.reduce_max(
  tf.math.reduce_min(
    tf.boolean_mask(x, tf.range(len(x)) % 2 == 0),
    axis=1
  )
)
print(new_x)",FALSE,484817,420772,324989,TRUE,TRUE,TRUE
